2019/10/23 11:42:14.079 [D]  init logger success!
2019/10/23 11:44:42.995 [D]  -----{dmesg Oct 20 03:16:01 172-18-8-178.youyuan-idc.com rsyslogd: [origin software="rsyslogd" swVersion="8.24.0" x-pid="25307" x-info="http://www.rsyslog.com"] rsyslogd was HUPed}
2019/10/23 11:44:43.012 [D]  pid:3 offset:59

2019/10/23 11:44:45.013 [D]  -----{dmesg Oct 20 03:17:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:17:18.176272117Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:44:45.024 [D]  pid:6 offset:36

2019/10/23 11:44:47.026 [D]  -----{dmesg Oct 20 03:17:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:17:18.176330928Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:44:47.037 [D]  pid:6 offset:37

2019/10/23 11:44:49.038 [D]  -----{dmesg Oct 20 03:20:01 172-18-8-178.youyuan-idc.com systemd: Started Session 47449 of user root.}
2019/10/23 11:44:49.045 [D]  pid:5 offset:50

2019/10/23 11:44:51.048 [D]  -----{dmesg Oct 20 03:20:01 172-18-8-178.youyuan-idc.com systemd: Starting Session 47449 of user root.}
2019/10/23 11:44:51.054 [D]  pid:4 offset:39

2019/10/23 11:44:53.056 [D]  -----{dmesg Oct 20 03:20:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:20:18.176542837Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:44:53.064 [D]  pid:4 offset:40

2019/10/23 11:44:55.065 [D]  -----{dmesg Oct 20 03:20:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:20:18.176791688Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:44:55.076 [D]  pid:4 offset:41

2019/10/23 11:44:57.079 [D]  -----{dmesg Oct 20 03:23:01 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:23:01.318634068Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:44:57.089 [D]  pid:2 offset:48

2019/10/23 11:44:59.091 [D]  -----{dmesg Oct 20 03:23:01 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:23:01.318714981Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:44:59.100 [D]  pid:4 offset:42

2019/10/23 11:45:01.101 [D]  -----{dmesg Oct 20 03:23:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:23:18.177021084Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:01.111 [D]  pid:1 offset:54

2019/10/23 11:45:03.112 [D]  -----{dmesg Oct 20 03:23:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:23:18.177086375Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:03.119 [D]  pid:1 offset:55

2019/10/23 11:45:05.120 [D]  -----{dmesg Oct 20 03:24:16 172-18-8-178.youyuan-idc.com systemd: Started Session 47450 of user root.}
2019/10/23 11:45:05.129 [D]  pid:6 offset:38

